setting,method,knots,threshold
1,gaussian,1,0
2,skew-t,1,0
3,skew-t,1,50
4,skew-t,1,75
5,skew-t,1,85
6,skew-t,5,0
7,skew-t,5,50
8,skew-t,5,75
9,skew-t,5,85
10,skew-t,10,0
11,skew-t,10,50
12,skew-t,10,75
13,skew-t,10,85
14,skew-t,15,0
15,skew-t,15,50
16,skew-t,15,75
17,skew-t,15,85
18,t,1,75
19,t,1,85
20,t,5,75
21,t,5,85
22,t,10,75
23,t,10,85
24,t,15,75
25,t,15,85
26,max-stable,1,75
27,skew-t,2,0
28,skew-t,2,75
29,skew-t,3,0
30,skew-t,3,75
31,skew-t,4,0
32,skew-t,4,75
33,skew-t,2,50
34,skew-t,3,50
