setting,method,knots,thresh,CMAQ
1,gaussian,1,0,
2,skew-t,1,0,
3,skew-t,1,50,
4,skew-t,1,75,
4a,skew-t,1,75,no CMAQ
5,skew-t,1,85,
5a,skew-t,1,85,no CMAQ
6,skew-t,5,0,
7,skew-t,5,50,
8,skew-t,5,75,
8a,skew-t,5,75,no CMAQ
9,skew-t,5,85,
9a,skew-t,5,85,no CMAQ
10,skew-t,10,0,
11,skew-t,10,50,
12,skew-t,10,75,
12a,skew-t,10,75,no CMAQ
13,skew-t,10,85,
13a,skew-t,10,85,no CMAQ
14,skew-t,15,0,
15,skew-t,15,50,
16,skew-t,15,75,
17,skew-t,15,85,
18,t,1,75,
19,t,1,85,
20,t,5,75,
21,t,5,85,
22,t,10,75,
23,t,10,85,
24,t,15,75,
25,t,15,85,
26,max-stable,1,75,
27,skew-t,2,0,
28,skew-t,2,75,
29,skew-t,3,0,
30,skew-t,3,75,
31,skew-t,4,0,
32,skew-t,4,75,
33,skew-t,6,0,
34,skew-t,7,0,
35,skew-t,8,0,
36,skew-t,9,0,
37,skew-t,11,0,
38,skew-t,6,50,
39,skew-t,7,50,
40,skew-t,8,50,
41,skew-t,9,50,
42,skew-t,11,50,
43,skew-t,6,75,
44,skew-t,7,75,
45,skew-t,8,75,
46,skew-t,9,75,
47,skew-t,6,85,
48,skew-t,7,85,
49,skew-t,8,85,
50,skew-t,9,85,
